id,bbox,country,code,vegetation,All occurances,All species,All genus,All family,All shannon,All simpson,Plants occurances,Plants species,Plants genus,Plants family,Plants shannon,Plants simpson,Animals occurances,Animals species,Animals genus,Animals family,Animals shannon,Animals simpson,Birds occurances,Birds species,Birds genus,Birds family,Birds shannon,Birds simpson,Insects occurances,Insects species,Insects genus,Insects family,Insects shannon,Insects simpson
35VND,"[26.999664053339853, 56.74303077546777, 28.84346534690257, 57.74229815282701]",Russia,RU,81.806266,408,148,129,84,4.270149306498947,0.9547813194959229,191,,,,,,204,94.0,84.0,54.0,3.4576196487392896,0.9053637627432808,170,,,,,,22,,,,,
35VNE,"[26.999655468075847, 57.6410797267632, 28.890542149643352, 58.64065618624541]",Russia,RU,80.847883,2248,124,110,72,3.8586833167496675,0.9334765656083392,639,157.0,123.0,51.0,4.981405203231708,0.9975137263027039,1541,91.0,83.0,57.0,3.7519652067461595,0.9593177887769098,1397,70.0,55.0,32.0,3.5570656317546616,0.9564632047778115,85,,,,,
35VNF,"[27.990940793213632, 58.53843884615826, 28.94054272164881, 59.52683515142089]",Russia,RU,97.464418,532,133,114,79,3.9151685156874954,0.9570544007076515,89,,,,,,439,100.0,87.0,51.0,3.9126450882306125,0.9686590881310353,384,86.0,71.0,35.0,3.647590681758323,0.9533097894301907,48,,,,,
35VNG,"[26.999636636826697, 59.43618535955448, 28.993793193188743, 60.43645676802676]",Russia,RU,17.32924,2368,143,133,82,3.9674162410752047,0.9562619312758511,924,130.0,111.0,47.0,4.703664883615974,0.9937958262831359,1399,89.0,74.0,46.0,3.5086947603552745,0.9478057469816651,1282,86.0,70.0,37.0,3.6392578762334997,0.9543980702086149,65,,,,,
35VNH,"[26.99962910138832, 60.333780433526485, 29.050564023665398, 61.333255101180896]",Russia,RU,11.994652,3117,141,127,83,3.0266509694297383,0.7783754026528593,1164,135.0,112.0,51.0,4.734620298790107,0.9941468973376153,1882,85.0,79.0,55.0,3.5012609147175353,0.9489051716793048,1657,77.0,62.0,33.0,3.060456180570573,0.9054127481713689,155,,,,,
35VPC,"[28.59716193895971, 55.83867106239664, 29.636270455122617, 56.833055285023114]",Russia,RU,95.71566,485,156,145,95,4.238661144197803,0.9595920041769225,132,,,,,,245,124.0,114.0,72.0,3.9390432964747566,0.9623981303930969,127,,,,,,103,,,,,
35VPD,"[28.63508015428252, 56.72604842676357, 30.23712064879538, 57.73116638138171]",Russia,RU,98.405385,1324,122,110,70,4.129932683679774,0.9747400781883541,89,,,,,,1226,125.0,104.0,59.0,4.031733612635282,0.9694911412489139,943,84.0,61.0,33.0,3.449528528039814,0.9249896761253024,271,162.0,145.0,55.0,4.995813337486691,0.9971859296482412
35VPE,"[28.675263020971236, 57.61252128638306, 30.610003204567008, 58.62913013340978]",Russia,RU,98.457921,639,159,142,86,4.849312765799186,0.9917120435618193,345,150.0,125.0,52.0,4.921521684942887,0.9969439552470735,286,111.0,93.0,54.0,4.117952358855862,0.9759738627795929,227,81.0,63.0,34.0,3.8656606123804313,0.9715566090144809,45,,,,,
35VPF,"[28.717875660252965, 58.50176805809861, 30.632443221135755, 59.17363054120044]",Russia,RU,96.550339,18520,155,141,77,4.60239327218163,0.9850475010326312,10572,143.0,118.0,49.0,4.852583996127013,0.9960915689558906,7362,103.0,89.0,59.0,3.7203347285711024,0.9595225675037882,6080,76.0,60.0,33.0,3.708374695076006,0.966419412339716,992,155.0,148.0,77.0,4.946882040804288,0.9969458987783595
35VPG,"[28.763183117311936, 59.39819844853761, 30.806751716111265, 60.42407827988155]",Russia,RU,73.827618,151363,118,105,65,3.6962414547344338,0.9260151070356566,32020,148.0,118.0,50.0,4.910590578106334,0.99678391959799,116330,88.0,72.0,47.0,3.0681763880646136,0.8922187351728947,109412,71.0,55.0,32.0,2.291327761008352,0.7372659421238706,4548,141.0,123.0,61.0,4.7957559917394965,0.9949368528842871
35VPH,"[29.048649811783555, 60.294406065684655, 30.914902973234536, 61.304688295046354]",Russia,RU,65.976036,12496,144,134,89,4.066906346026697,0.960823632326223,5661,145.0,120.0,58.0,4.873663085704725,0.9963316582914573,5917,112.0,102.0,64.0,4.030393135145682,0.9656595319165096,4723,87.0,72.0,33.0,3.5908159787355913,0.9385964912280702,877,126.0,108.0,56.0,4.637156390121944,0.9925384498248819
35VPJ,"[28.862765781650385, 61.20051152743318, 31.030311086042005, 62.21843973759496]",Russia,RU,75.206137,2243,141,129,83,4.633902429821534,0.9882818331094193,1052,122.0,105.0,52.0,4.633486808036768,0.9930653266331658,1096,93.0,82.0,52.0,4.074370594476685,0.9772512900183099,856,79.0,69.0,35.0,3.8839834765472565,0.972533938553356,170,,,,,
35WNS,"[26.999490432026835, 69.11875599226052, 27.466615019251954, 69.40964050938386]",Russia,RU,90.953827,244,108,101,68,3.8912789796386966,0.9515815847165675,78,,,,,,151,,,,,,82,,,,,,37,,,,,
35WPM,"[29.039245434625556, 63.89444535891387, 31.428378918663924, 64.90914676464594]",Russia,RU,84.660977,338,75,67,47,3.334693790960166,0.9460936680718974,29,,,,,,303,57.0,48.0,34.0,3.1619252005017042,0.9387245852801507,278,49.0,38.0,22.0,3.1185867829360254,0.9366504863566262,8,,,,,
35WPT,"[31.448151909909893, 69.23981073216021, 32.549665173994555, 70.17358408006855]",Russia,RU,71.564448,739,111,96,67,3.614642109501532,0.9307493168416511,171,,,,,,540,77.0,68.0,46.0,3.4676860781204812,0.9455252918287937,457,64.0,48.0,25.0,3.577248665015894,0.9610099684726551,56,,,,,
36TYR,"[35.53870686346422, 45.01933651118832, 36.570281670569585, 46.024365075689296]",Russia,RU,0.608091,913,119,103,71,2.60628828999416,0.8128278891457491,161,,,,,,751,94.0,74.0,51.0,2.646197301208534,0.7625059467438521,678,70.0,55.0,33.0,2.9434137493338097,0.8863332882032658,43,,,,,
36UUG,"[31.186129819813868, 54.94338499855391, 31.591601297939256, 55.72798853481688]",Russia,RU,84.683472,332,98,88,57,4.227559808388907,0.9814070351758793,50,,,,,,281,72.0,61.0,35.0,3.8256862735690627,0.9679601990049751,269,71.0,57.0,30.0,3.885189172093504,0.9738308457711443,3,,,,,
36UVD,"[32.49130317024428, 52.25880921260975, 33.14627687240083, 53.24953673463324]",Russia,RU,74.821508,1235,168,151,77,5.053099612633222,0.9978894472361809,973,152.0,125.0,53.0,4.940361563041898,0.9970854271356784,248,125.0,115.0,83.0,4.648668281292968,0.9931972789115646,72,,,,,,133,,,,,
36UVE,"[32.89667284061323, 53.159671121251115, 33.14794402461004, 53.72413047875191]",Russia,RU,97.992182,612,147,128,78,4.758994976055842,0.9914439910490983,380,152.0,118.0,55.0,4.927415869781566,0.99678391959799,226,76.0,70.0,45.0,3.7900040454706727,0.9666121112929623,191,,,,,,26,,,,,
36UVF,"[31.434601639013216, 54.050496442234184, 33.15275327372747, 55.04689020612033]",Russia,RU,94.510639,9314,99,82,55,3.385852441140322,0.933988124194059,448,132.0,106.0,50.0,4.737655371848765,0.9946162128903245,8764,86.0,74.0,47.0,2.813518366914912,0.867537918498797,7907,70.0,58.0,33.0,3.054160927513234,0.9008701472556895,732,182.0,171.0,71.0,5.172336156634811,0.9991194447322076
36UVG,"[31.39856308565152, 55.6440720278212, 31.593847238588314, 55.936472325067406]",Russia,RU,99.377465,9571,129,118,80,3.9860490023723028,0.9603262688723289,1322,151.0,120.0,53.0,4.923882378711877,0.9968341708542714,8082,103.0,88.0,57.0,3.8116570993346905,0.9643578643578643,6821,91.0,74.0,31.0,3.9915416221059417,0.9759407554390193,1087,183.0,173.0,72.0,5.174877668246934,0.9990355819501548
36UWC,"[32.999706370881356, 51.35263389325745, 34.61138436279297, 52.3504731573947]",Russia,RU,67.904186,1299,154,128,58,4.957078545960174,0.9972590223846505,1123,155.0,124.0,50.0,4.951043279100392,0.9970475499844608,167,,,,,,128,,,,,,26,,,,,
36UWD,"[32.99970025177571, 52.25159244435569, 34.64494666464431, 53.24962646775486]",Russia,RU,89.874625,12369,180,158,80,5.1570716897172115,0.9989447236180905,10057,174.0,137.0,54.0,5.110250377445972,0.9985427135678392,2200,151.0,143.0,88.0,4.912342935277836,0.9965646310823976,1072,81.0,71.0,37.0,4.016385866478172,0.9778811109714717,745,150.0,147.0,63.0,4.891292015525246,0.9962463653185303
36UWE,"[32.99969379936479, 54.09868310009444, 33.02806716041606, 54.148104103961266]",Russia,RU,68.198305,27311,173,154,77,5.099309802548701,0.9984460789391899,16348,164.0,135.0,59.0,5.0278544557958655,0.9977889447236181,10673,158.0,142.0,62.0,4.939399922799529,0.9962189054726368,4023,77.0,60.0,34.0,3.9874102042355783,0.9797774094245797,5642,144.0,126.0,38.0,4.824234744969836,0.995177909750774
36UWG,"[33.71665332946743, 54.947017819877004, 34.75727569489757, 55.93723302312068]",Russia,RU,93.704408,629,118,99,62,3.578871345771161,0.9159437499312817,45,,,,,,581,105.0,87.0,55.0,2.9347643397384084,0.8512905148306056,468,79.0,64.0,34.0,2.6909213266995846,0.8302023632632844,86,,,,,
36UXB,"[34.40871510963764, 50.42629366061962, 36.01702500852582, 51.44235231685392]",Russia,RU,36.179328,655,129,112,65,4.604353366824566,0.9882069425216633,369,112.0,91.0,39.0,4.555616124841512,0.9926399675143394,279,96.0,87.0,51.0,4.067988771889091,0.9642080182326738,153,,,,,,79,,,,,
36UXC,"[34.436120625123465, 51.32452335478603, 36.07775792530945, 52.34135509726958]",Russia,RU,41.079551,11624,148,134,87,4.870187530209874,0.9957955186381582,2866,151.0,122.0,55.0,4.919617641692011,0.9967514339373635,8465,119.0,102.0,63.0,4.589153386209128,0.992517006802721,6361,85.0,64.0,32.0,4.180057550229937,0.9845728643216081,1554,130.0,125.0,56.0,4.704580683564006,0.9940090673575129
36UXD,"[35.00968789955905, 52.22256603361336, 36.089375652865506, 52.60119872520541]",Russia,RU,46.883643,8685,168,148,95,5.030885122800663,0.9972327751981614,5123,147.0,125.0,53.0,4.889123040746061,0.9964976397137201,3252,123.0,115.0,74.0,4.464259596953819,0.9853881278538813,1647,90.0,71.0,35.0,3.983058333488599,0.9701899509803922,1021,110.0,101.0,55.0,4.48245464657269,0.9910013089005235
36UXE,"[34.49537958151226, 53.119880621881606, 36.20926008487338, 54.138373318280884]",Russia,RU,86.555374,2719,163,148,82,4.93172868288525,0.9950473729543498,1684,153.0,128.0,48.0,4.938982333459302,0.9969748243859919,997,115.0,107.0,64.0,4.3204198559827915,0.9798113763631005,628,96.0,77.0,36.0,2.6767380326406576,0.7661651017446166,283,103.0,93.0,42.0,3.547377792929649,0.9382887806817053
36UXF,"[34.52746912948564, 54.017541579537756, 36.28057485944205, 55.0369285878196]",Russia,RU,91.202021,2801,156,140,85,3.892385921530435,0.9529541604640419,1663,155.0,121.0,55.0,4.954701458690773,0.9971286468748398,1077,107.0,94.0,58.0,3.605861089892363,0.950943268645615,529,68.0,56.0,31.0,2.9840887164537744,0.8924321944030051,470,92.0,83.0,43.0,3.0657704763621045,0.9045438147968066
36UXG,"[34.56135744246611, 54.915007227282395, 36.355968287691326, 55.93533538033806]",Russia,RU,94.369876,12973,129,115,76,3.3636018270296506,0.9018221435380634,2326,147.0,122.0,62.0,4.868866236938955,0.9960301507537689,10514,95.0,84.0,52.0,3.5147081801963758,0.9454971662561942,9418,91.0,69.0,38.0,3.47942799002999,0.9348491793876752,884,104.0,94.0,50.0,2.4706281976977,0.815274625416492
36UYB,"[35.81551011356699, 50.42172195879891, 36.566375241888544, 51.41589769639834]",Russia,RU,29.273999,4486,161,148,96,4.969892101368168,0.9965858654831,1834,152.0,123.0,57.0,4.927943626444119,0.9968021927820923,2590,121.0,114.0,71.0,4.517043430327251,0.9893969849246231,1359,77.0,67.0,37.0,4.000497970438879,0.9784909525435302,1003,139.0,122.0,50.0,4.810804938567463,0.9955910719206393
36UYC,"[37.13985892520612, 51.27892518278613, 37.53745581631383, 52.237760362525]",Russia,RU,25.684416,25557,155,147,84,4.954246798826948,0.9971689546498584,10635,145.0,110.0,43.0,4.832163780197795,0.9947738693467336,14637,118.0,109.0,68.0,4.457877444900232,0.9869801251380199,9985,99.0,74.0,38.0,4.303388953132006,0.9865174129353234,3677,141.0,135.0,54.0,4.811585331470024,0.995131047342795
36UYD,"[35.927820031395214, 52.17548471916956, 37.53641635745864, 52.493297244315855]",Russia,RU,25.906292,1635,155,140,83,4.741049662206758,0.9890113955897588,576,140.0,119.0,46.0,4.811715472126205,0.9953768844221106,1045,124.0,107.0,67.0,3.4691447029030704,0.8953389054969191,735,90.0,69.0,35.0,3.6333064067200413,0.9382269503546099,256,113.0,92.0,49.0,4.435052952519655,0.9859759288330717
36UYE,"[35.98849229446918, 53.07633858463075, 37.73349037163308, 54.10922199205192]",Russia,RU,51.936513,4991,176,152,85,5.114857233784505,0.9983744643121029,3597,158.0,129.0,53.0,4.987992740165562,0.9975388401784341,1191,132.0,112.0,76.0,4.104361097795945,0.9495626682045367,827,102.0,75.0,37.0,4.327902369866978,0.9864983650363911,278,140.0,121.0,63.0,4.779674353817034,0.9945728643216081
36VUH,"[29.724465390556333, 55.81589134146334, 31.559301313884525, 56.83505986087058]",Russia,RU,95.086324,1300,129,122,85,3.657404827020699,0.9084659139509024,201,155.0,135.0,61.0,4.964323688840612,0.9973065368279291,957,105.0,91.0,57.0,2.2953929063811436,0.7691600172949177,773,81.0,64.0,33.0,3.64570265789139,0.9570919492860779,149,,,,,
36VUJ,"[29.643829890032492, 56.92779294955875, 30.24418876715573, 57.709358622182755]",Russia,RU,98.775601,1526,99,84,45,4.0321557181625005,0.97491509568259,87,,,,,,1426,86.0,68.0,37.0,3.9060795090370757,0.9707538811202281,1363,84.0,62.0,28.0,3.960506836411875,0.976000787935827,17,,,,,
36VUK,"[29.558265107108255, 57.61010611826214, 30.907547941652, 58.62080609424522]",Russia,RU,98.12749,15828,126,107,72,4.599489561571163,0.9912684365781711,4116,134.0,110.0,50.0,4.773088989356644,0.9952763819095477,11491,92.0,73.0,40.0,4.028504014924269,0.9732536764705882,10746,78.0,57.0,30.0,4.065925246340091,0.9815716730288272,500,116.0,106.0,53.0,4.406061762392058,0.9841395717684378
36VUL,"[29.467397959456765, 58.50637201273352, 31.414748632885093, 59.528633523550624]",Russia,RU,97.032952,22572,158,144,84,4.39669544781855,0.9751847656039273,11998,153.0,119.0,55.0,4.942977803760721,0.9970351758793969,9833,110.0,91.0,53.0,4.107277842918345,0.9757418011452369,8256,83.0,65.0,31.0,3.2331838700484825,0.912326888797477,1205,148.0,140.0,67.0,4.893368507643816,0.9965463108320252
36VUM,"[29.370638358989392, 59.949997767465334, 29.772981449236966, 60.39494784501014]",Russia,RU,69.568902,151759,121,103,70,3.8700281389795634,0.9601775831660889,31274,149.0,126.0,59.0,4.896486930921332,0.996462082756499,117339,83.0,70.0,37.0,3.152915708085384,0.9168167022908887,110244,83.0,66.0,30.0,3.4283005557501807,0.9437229437229437,4659,150.0,143.0,74.0,4.920195635570708,0.9970417567413813
36VUN,"[29.26749797615466, 60.29934910487688, 30.49459259340706, 61.30761933704447]",Russia,RU,79.446757,10524,161,143,90,4.701933093267226,0.9869617864886936,4885,130.0,109.0,57.0,4.739144531418869,0.9949764521193093,4801,110.0,96.0,61.0,3.588315187369611,0.9200353180544358,3904,87.0,74.0,33.0,3.659651574863292,0.9586436836356768,634,131.0,119.0,59.0,4.746389649285115,0.9949756552367139
36VUP,"[29.157434290352175, 61.194973173238445, 31.267042504290863, 62.220923807248376]",Russia,RU,75.88467,2549,131,117,73,4.526855114922133,0.986876921976686,1159,128.0,111.0,56.0,4.686696624098205,0.9937566620983707,1291,103.0,91.0,55.0,3.9466048330198618,0.9635945544453715,1027,69.0,56.0,32.0,3.5837276074162836,0.9602149064730682,185,,,,,
36VVH,"[31.36043831332785, 55.84694811162493, 33.159994037675986, 56.843709329150045]",Russia,RU,97.992241,988,147,140,108,4.7534108057090005,0.9925925925925926,391,128.0,107.0,57.0,4.642777897907731,0.991878584843409,446,126.0,123.0,91.0,4.343251973249894,0.9801188364168849,249,76.0,63.0,34.0,3.7673039979781238,0.9664972513224769,87,,,,,
36VVJ,"[32.06444331428525, 56.749365642232554, 33.16394158635091, 57.742192087923826]",Russia,RU,91.709143,993,148,130,78,3.113343482541514,0.7701215084474996,590,148.0,118.0,54.0,4.898334361968303,0.9965813736662178,379,99.0,86.0,57.0,2.9140279187814113,0.7780856736070634,135,,,,,,201,61.0,45.0,25.0,3.7087324782190176,0.9723618090452262
36VVK,"[31.277100552222073, 57.6433463094972, 33.16813116162607, 58.64054636337349]",Russia,RU,94.065601,13518,145,125,80,4.826562866762534,0.9950248756218906,5072,145.0,120.0,54.0,4.884686591967543,0.9966159052453468,7914,86.0,74.0,41.0,4.04979338357586,0.9776227047678453,7093,82.0,65.0,27.0,3.389691383172263,0.8837186520376176,458,106.0,100.0,47.0,4.374360898650767,0.9860428231562253
36VVL,"[31.231527919476722, 59.09032942567294, 31.585213657190213, 59.528555538936054]",Russia,RU,98.44172,4303,149,128,89,4.828451512130834,0.9940191387559809,2263,147.0,117.0,48.0,4.880594557510326,0.9962814070351759,1886,107.0,92.0,59.0,3.530981184778012,0.9018381475292433,1533,76.0,60.0,30.0,3.822144801092238,0.970122538895773,241,115.0,108.0,57.0,4.467056665518543,0.9868307426597582
36VVM,"[31.182992688697286, 59.43861634029021, 32.28210562931803, 60.430830857038444]",Russia,RU,51.818568,4988,128,111,72,3.2243325315974563,0.8277586793094329,1526,111.0,102.0,42.0,4.492280050506863,0.990711131414649,3402,86.0,76.0,47.0,3.423036304728476,0.9441532457756383,3128,71.0,59.0,30.0,3.6928853130080377,0.9662296480511223,181,,,,,
36VVN,"[31.13124823455819, 60.336300316820406, 33.18237394343109, 61.33432012718688]",Russia,RU,26.704261,1706,100,86,55,3.085465196924139,0.9087208683044109,166,,,,,,1520,100.0,84.0,47.0,3.1823631337466085,0.9078312138590345,1428,88.0,65.0,30.0,2.5374384816803093,0.8177855148152178,57,,,,,
36VVP,"[32.135539559640506, 61.23949392348519, 33.18776765959114, 62.23164304268573]",Russia,RU,85.910004,364,132,114,67,4.291755188199442,0.97640062203169,151,,,,,,206,91.0,78.0,47.0,3.786865764611161,0.9584308247482685,161,,,,,,35,,,,,
36VWH,"[34.13978135490088, 55.84483052669612, 34.79910585152769, 56.832036269456]",Russia,RU,93.91914,1930,83,76,50,3.381314773633147,0.9191321499013807,259,163.0,131.0,57.0,5.018306743271445,0.9976884422110552,1668,61.0,53.0,35.0,3.4884495416400965,0.9567901234567902,1608,55.0,50.0,32.0,3.2438295540123065,0.9329162570381625,16,,,,,
36VWJ,"[34.589284679847026, 56.74303077546777, 34.816621159982084, 57.183891817923524]",Russia,RU,97.566432,1413,169,146,88,4.916955709504161,0.9924722336487042,1089,151.0,122.0,62.0,4.9333473952948035,0.9970260985489412,290,116.0,108.0,73.0,2.939512014715578,0.7763261699643409,182,,,,,,60,,,,,
36VWK,"[32.99965546807585, 58.04814804455389, 33.423615022894786, 58.64065618624541]",Russia,RU,96.970034,4687,160,136,80,4.361509345377211,0.9599617856522494,2670,152.0,121.0,56.0,4.91741651817759,0.9963961220242628,1921,103.0,79.0,43.0,3.2364723597329674,0.8896028352401865,948,78.0,66.0,31.0,1.5459746168607649,0.5098287057690538,900,58.0,36.0,21.0,3.694781220685239,0.971953578336557
36VWL,"[32.99964634910203, 58.54963966770647, 34.090452563152176, 59.538349128457064]",Russia,RU,99.103141,1235,89,78,45,4.217182374185681,0.9858495122186806,37,,,,,,1193,92.0,77.0,43.0,4.154976624009189,0.9811802232854865,1126,71.0,61.0,31.0,3.984677764675458,0.9814572864321608,34,,,,,
36VWN,"[32.999626281785666, 61.28464242830497, 33.041763899695425, 61.33444248352088]",Russia,RU,42.773157,633,115,101,63,2.2467971934401625,0.814623943622163,173,,,,,,436,85.0,70.0,44.0,2.4845500261522804,0.8526231677912793,402,68.0,54.0,29.0,2.324741091102779,0.8316473841867887,24,,,,,
36VWP,"[32.99961522897758, 61.23068543681581, 35.111155869333466, 62.23177006410344]",Russia,RU,74.784452,2256,154,145,94,1.7542063690421807,0.4652418091524181,501,125.0,107.0,55.0,4.681806023514439,0.9940201005025125,1727,112.0,110.0,75.0,3.6577118832381705,0.9260023697588197,939,63.0,51.0,26.0,3.2707175974727067,0.9369884154798882,687,150.0,140.0,65.0,4.911990970474405,0.9967616580310881
36VWQ,"[32.9996113047836, 62.127976558918824, 35.17602465459371, 63.12626608668153]",Russia,RU,77.128303,567,114,102,64,3.6654109181332997,0.9506150905811731,107,,,,,,455,91.0,78.0,46.0,3.215057809284698,0.9102141329726792,392,72.0,62.0,27.0,3.3326318663271044,0.9427577048129322,50,,,,,
36VXH,"[34.63511265201485, 56.743437739254894, 34.693615628820616, 56.833055285023114]",Russia,RU,99.8523,42135,115,94,52,3.5322628516927317,0.9431416989577495,3848,149.0,127.0,50.0,4.903838020972655,0.9966671794082962,38181,101.0,75.0,39.0,2.7157503636480023,0.834622572012963,37223,98.0,75.0,37.0,2.624085953954398,0.8000656921003246,703,127.0,103.0,50.0,4.655010432942208,0.9927263212977498
36VXJ,"[34.63508015428253, 56.708800777329145, 36.5202759586015, 57.72263894137336]",Russia,RU,97.985548,10106,144,128,77,4.421480464170037,0.9742008032128514,3412,162.0,135.0,64.0,5.0001285685734675,0.9973869346733668,6545,100.0,91.0,63.0,3.8141781668541306,0.95431675242996,4942,78.0,60.0,32.0,3.7126084634473018,0.9623496944608713,1229,142.0,125.0,67.0,4.819706030156028,0.9955062120010574
36VXK,"[35.04777062537691, 57.60565896639739, 36.61000320456701, 58.611337151147936]",Russia,RU,98.475868,1386,157,140,79,4.969056012121816,0.9972547394592355,817,140.0,121.0,57.0,4.81827098066839,0.9956490210297317,543,112.0,99.0,64.0,4.464942634201479,0.9896451956753465,344,92.0,75.0,36.0,4.253657011564373,0.9859798994974874,149,,,,,
36VXL,"[34.932897086116235, 59.23194414350021, 36.70528899270517, 59.522950736457645]",Russia,RU,98.504484,404,154,144,93,4.9576380396422435,0.9973065368279291,149,,,,,,231,115.0,101.0,65.0,4.534880769569066,0.9912980420594634,187,,,,,,33,,,,,
36VXN,"[36.56738974328753, 60.294406065684655, 36.85246100002311, 60.759075970041195]",Russia,RU,97.741228,250,136,120,72,4.526606197675252,0.9838174273858921,129,,,,,,114,,,,,,104,,,,,,8,,,,,
36VXP,"[34.86276578165039, 61.2206497079004, 36.30847351235949, 62.21843973759496]",Russia,RU,36.089757,708,129,113,73,2.899843919486969,0.7892565272765867,148,,,,,,556,98.0,81.0,48.0,3.2984531944711453,0.9170333655705996,425,73.0,52.0,29.0,3.1599538307079675,0.915861877301466,127,,,,,
36WVA,"[32.09875360793672, 67.5202613226123, 33.23875663515723, 68.51246242346805]",Russia,RU,67.415804,365,106,86,50,3.965895630015387,0.9696589053453769,180,,,,,,181,,,,,,159,,,,,,16,,,,,
36WVB,"[30.4527167155109, 68.40717538334204, 32.503396414397045, 69.40453344862809]",Russia,RU,88.373882,4460,85,71,39,2.9835140686493498,0.8730068896392178,556,113.0,93.0,43.0,4.4457491913858345,0.9882412060301508,3842,71.0,52.0,27.0,3.1787567860639165,0.9231926489469402,3783,69.0,51.0,26.0,2.3716933650663283,0.7337387979460124,49,,,,,
36WVC,"[30.341941374114473, 69.66231854152835, 31.52785441794501, 70.29431289600895]",Russia,RU,10.422548,869,101,84,58,2.049044351023999,0.6799545210051987,196,,,,,,647,81.0,66.0,44.0,3.083231674559141,0.9027778911092796,569,57.0,43.0,20.0,2.0689724849094615,0.7571871644995825,41,,,,,
36WVU,"[30.732889021927452, 66.43217872254512, 31.069085615874982, 66.70406925480492]",Russia,RU,71.477687,1230,145,129,88,3.0119783257581507,0.8178831050821056,590,129.0,93.0,44.0,4.733324955202997,0.994873356682402,578,103.0,98.0,83.0,2.5387363056241163,0.6842247312311637,195,,,,,,38,,,,,
